time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode,trial_marker,sip_puff_before_frame_id,user_vel
1582328711867172200,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711870965408,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711877211179,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711879449994,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711886439524,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711887267056,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711893218753,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711897701848,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711900052820,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711907443372,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711907570247,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711913839588,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711917563799,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711922677223,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711927630624,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711932614466,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711937693013,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711942474772,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711947937516,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711952513855,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711958006743,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711963172345,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711968204480,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711972715117,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711978260123,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711983350161,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711988416257,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711992662419,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711998495516,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712003163407,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712008632947,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712012529335,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712018735591,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712022515188,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712028806035,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712032550998,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712039181556,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712044019712,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712049261052,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712052522986,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712059269829,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712063184671,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712069507723,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712072599312,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712079572971,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712082610120,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712089697101,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712092749609,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712099815283,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712102546637,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712110434889,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712117365581,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712121090009,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712131193226,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712137184515,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712141155120,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712147521007,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712151246101,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712155827623,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712161292885,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712162727441,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712170289265,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712171366302,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712176400019,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712181437824,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712183266380,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712191580683,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712192752726,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712201699033,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712203452337,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712211790714,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712212543053,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712221901787,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712222562899,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712232011320,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712232723759,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712242121838,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712242598157,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712252880031,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712258773509,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712262900749,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712272965134,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712274032171,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712282972543,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712284224493,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712292409621,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712293078764,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328712299097347,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328712303220646,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
