time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode,optimal_a,u_intended,normalized_h,u_corrected,is_corrected_or_filtered,is_u_intended_equals_um,trial_marker,sip_puff_before_frame_id,user_vel
1582330051498335441,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051505501469,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051508447021,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051515686295,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051518539824,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051525389134,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051528637731,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051535591928,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051538871753,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051545507077,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051548909183,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051556077641,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051559081494,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051565420025,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051569130428,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051579630111,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051579899338,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051589873366,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051598090088,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051599870468,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051608013083,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051610018439,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
