time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode_frame_id,mode,trial_marker,sip_puff_before_frame_id,user_vel
1582328830868751787,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830871243638,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830878470544,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830881379772,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830889704983,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830891410954,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830898551061,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830901511704,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830908706485,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830911559560,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830918745013,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830921695404,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830928551385,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830931727007,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830938492838,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830941855593,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830948609372,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830951900522,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830958479517,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830962035402,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830969152158,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830972138526,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830978461874,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830982244625,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830988585267,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830992325601,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830998711615,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831002409674,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831009517823,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831012450808,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831018598377,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831022613983,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831028654147,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831032673253,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831038669232,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831042808660,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831048543618,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831052862000,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831058455031,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831062944728,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831068914491,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831073016795,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831079158250,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831083096778,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831088596037,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831093212935,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831098632212,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831103284196,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831108594286,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831113431937,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831118418064,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831123697014,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831128985156,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831133632704,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831139185518,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831143846117,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831148438069,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831154043178,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831159507419,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831164036739,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831169275927,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831174135578,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831179289951,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831184220461,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831188564923,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831194315358,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831200158639,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831204487944,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831209271897,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831214583244,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831219348458,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831224719701,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831229149198,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831234915886,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831239992213,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831244969619,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831248626118,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831255036437,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831258637799,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831265191948,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831268619998,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831275294823,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831278750438,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831285491062,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831289373405,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831295590588,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831299564575,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831305609298,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831308518051,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831315807457,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831319200581,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831325946323,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831329240879,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831336132866,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831338613238,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831346262220,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831349410012,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831356493940,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831359610386,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831366615625,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831369453078,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831376797276,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831379245352,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831386906888,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
