time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode,optimal_a,u_intended,normalized_h,u_corrected,is_corrected_or_filtered,is_u_intended_equals_um,trial_marker,sip_puff_before_frame_id,user_vel
1582330695010046621,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695019603219,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695020163520,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695029402996,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695030243118,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695038832445,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695040260175,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695049217583,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695050385881,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695058941151,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695060560934,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695068768358,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695070730067,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695079685702,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695080843338,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695089628517,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695090922169,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695098970773,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695101042431,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695109552810,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695111204246,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695118733478,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695121416863,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695129819726,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695131445886,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695142175276,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695144023926,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695152367770,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695162274731,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695167593000,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695172292163,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695179243545,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695182341717,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695187692178,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695192458551,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695193876687,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695200618866,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695202656247,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695207732561,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695212737654,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695215013261,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695221020025,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695222863166,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695229544328,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695232860073,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695238974521,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695243041116,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695248934870,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695253039198,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695259480246,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695263196779,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695268888059,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695273398551,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695279716124,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695283483796,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695289792714,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695293618480,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695298986410,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695303702180,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695309620170,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695313808690,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695318877090,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695323895967,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695328999615,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695334092484,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695338919646,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695344185205,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695349651050,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695354262227,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695359114495,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695364445377,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695374344288,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330695375364306,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695385189721,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695395076312,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330695395188497,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
